iers_name, num_ses, obs_len, mean_epoch, beg_epoch, end_epoch, mean_ra, sigma_ra, mean_dec, sigma_dec
0724+571,   5, 25.6, 2012.81, 1994.61, 2020.26, 112.2067984509, 0.090, +57.0234373175, 0.050
0725+219,   9, 23.7, 2009.95, 1996.01, 2019.72, 112.0858679035, 0.063, +21.8851084101, 0.074
0725-381,   6,  8.9, 2017.16, 2010.59, 2019.51, 111.7505437112, 0.726, -38.2198390216, 2.336
0726-047,   1,  0.0, 2020.73, 2020.73, 2020.73, 112.2008882448, 0.000,  -4.8966051102, 0.000
0726-132,   6, 15.7, 2015.85, 2004.33, 2020.06, 112.3242403893, 0.064, -13.3339642193, 0.103
0726-224,   4, 15.3, 2013.98, 2004.35, 2019.63, 112.1241603672, 0.078, -22.5268632972, 0.236
0727+409,   7, 23.4, 2014.08, 1996.44, 2019.79, 112.7139441576, 0.076, +40.8307850954, 0.146
0727-025,   4,  5.7, 2017.71, 2014.42, 2020.14, 112.6078234024, 0.128,  -2.6902512434, 0.099
0727-115,4667, 38.1, 2003.39, 1983.36, 2021.48, 112.5796353147, 0.008, -11.6868335007, 0.009
0727-365,   9, 12.0, 2016.89, 2007.52, 2019.53, 112.2725489475, 0.505, -36.6625646371, 0.893
0728+249,   8, 23.7, 2009.42, 1996.01, 2019.72, 112.8906061239, 0.031, +24.8662773555, 0.061
0728+281,   5,  3.8, 2018.01, 2016.11, 2019.95, 112.9697059018, 0.342, +28.0758168363, 0.827
0728-054,   5, 13.1, 2015.57, 2007.03, 2020.14, 112.6184854032, 0.035,  -5.5963621827, 0.193
0728-235,   6, 15.3, 2015.61, 2004.35, 2019.63, 112.7777831514, 0.215, -23.6966306233, 0.216
0728-320,   4, 17.4, 2013.42, 2002.09, 2019.53, 112.6595764266, 0.111, -32.1389386950, 0.804
0728-345,   4, 17.4, 2013.42, 2002.09, 2019.53, 112.4890205424, 0.832, -34.6554433614, 0.264
0729+019,   4, 15.1, 2014.33, 2004.35, 2019.41, 113.0949528896, 0.121,  +1.8431623707, 0.053
